OBJECTID_1,OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
110,348,"444 Concession St, Hamilton, ON L9A 1C2, Canada",-79.8568489,348,43.2420421,1,1
111,351,"45 Kenilworth Ave N, Hamilton, ON L8H 4R4, Canada",-79.8097792,351,43.2419663,1,1
112,360,"460 Main St E, Hamilton, ON L8N 1K4, Canada",-79.851911,360,43.2505732,1,5
113,376,"50 Charlton Ave E, Hamilton, ON L8N 4A6, Canada",-79.8712441,376,43.2483458,1,19
114,378,"50 Dundurn St S, Hamilton, ON L8P 4W3, Canada",-79.8893413,378,43.2612203,1,3
115,383,"500 Centennial Pkwy N, Hamilton, ON L8E 0G2, Canada",-79.7536566,383,43.2414738,1,2
116,387,"503 Concession St, Hamilton, ON L9A 1C1, Canada",-79.8538759,387,43.2416778,1,5
117,388,"505 King St W, Hamilton, ON L8P 1B9, Canada",-79.8840971,388,43.2606949,1,8
118,389,"505 Rymal Rd E, Hamilton, ON L8W 1B3, Canada",-79.870736,389,43.197387,1,2
119,394,"510 Centennial Pkwy N, Hamilton, ON L8E 0G2, Canada",-79.7564199,394,43.2421355,1,1
120,396,"52 King St E, Dundas, ON L9H 5N5, Canada",-79.9513544,396,43.2656384,1,1
121,398,"521 Hamilton Regional Rd 8, Stoney Creek, ON L8G 1G4, Canada",-79.71344,398,43.2162882,1,1
122,406,"531 Queenston Rd, Hamilton, ON L8K 1J7, Canada",-79.7789039,406,43.231559,1,1
123,416,"547 Upper James St Unit B, Hamilton, ON L9C 2Y5, Canada",-79.8761023,416,43.2408918,1,1
124,423,"555 Concession St, Hamilton, ON L8V 1A8, Canada",-79.8517755,423,43.2411909,1,1
125,425,"56 Governors Rd, Dundas, ON L9H 5G7, Canada",-79.9576976,425,43.2617504,1,1
126,428,"565 Sanatorium Rd, Hamilton, ON L9C 5K8, Canada",-79.9153819,428,43.2399407,1,1
127,429,"567 Scenic Dr, Hamilton, ON L9C 1G9, Canada",-79.9066544,429,43.2435166,1,1
128,432,"574 Upper James St, Hamilton, ON L9C 2Y6, Canada",-79.8773004,432,43.240174,1,3
129,433,"576 Main St E, Hamilton, ON L8M 1J2, Canada",-79.847616,433,43.2495932,1,4
130,444,"60 Centennial Pkwy S, Stoney Creek, ON L8G 2C5, Canada",-79.7651773,444,43.2247405,1,4
131,445,"60 Hatt St, Dundas, ON L9H 7T6, Canada",-79.9574344,445,43.2652442,1,1
132,447,"605 James St N, Hamilton, ON L8L 1J9, Canada",-79.8622571,447,43.2732517,1,5
133,448,"609 Upper James St, Hamilton, ON L9C 2Y9, Canada",-79.8767574,448,43.2393309,1,1
134,450,"61 Wilson St W, Ancaster, ON L9G, Canada",-79.9902414,450,43.2170764,1,1
135,454,"62 King St W, Dundas, ON L9H 1T8, Canada",-79.9564073,454,43.2662569,1,3
136,455,"62 Norma Crescent, Ancaster, ON L9G 4P2, Canada",-80.0022659,455,43.2124589,1,1
137,456,"625 Greenhill Ave, Hamilton, ON L8K 5N8, Canada",-79.7867409,456,43.2102722,1,1
138,457,"631 Queenston Rd, Hamilton, ON L8K 6R5, Canada",-79.7751636,457,43.2308038,1,7
